lookback,ema_span,total_return,max_drawdown,sharpe_ratio,profit_factor
45,20,0.12273734485029131,0.07439845526515342,0.3635976408994223,1.6278495947783205
20,20,0.13126162520541462,0.08172195339182478,0.3567703791396673,1.5867810154781343
30,20,0.11177595565624254,0.07278895306583494,0.32541692806382944,1.51480609240404
10,20,0.1533926209839891,0.1062700957624885,0.4188559781319171,1.4299662911052353
20,30,0.12357368562133031,0.09086143328996106,0.33715568494640713,1.3452183489372451
10,30,0.13835408536986904,0.10922464513111488,0.38297109022,1.2552010052315752
10,15,0.1386231011040211,0.11138449559837732,0.38270478170668604,1.2334717557429926
45,30,0.10804297573618715,0.08790183707273606,0.3183042964564737,1.2153064469049222
15,20,0.13055029612211455,0.10689414651707013,0.3672793310692361,1.2099849744996125
15,30,0.132631969788787,0.11086466357974208,0.3718844437306524,1.1856467050852129
30,30,0.09821607402629762,0.08434291372032077,0.2849909603247616,1.1508404124584237
15,15,0.12458997903354563,0.10728080188219213,0.3535025560837588,1.1506192867789955
20,15,0.09977789993503872,0.09567214136483167,0.27976485192236633,1.032126717442683
45,15,0.08412021043068019,0.08233507219978463,0.26010618609648495,1.0094214621787727
20,10,0.10094986706772024,0.10055257369921647,0.2901181310197791,0.9940650777273125
15,10,0.10647560772686893,0.12104603097692582,0.31653066485567116,0.8724217155984314
30,15,0.06525861162193403,0.08104690750046438,0.20131435936648154,0.7953817347907314
10,10,0.09367005224534908,0.12011686059857422,0.2701051011543717,0.7733857349209706
60,20,0.057407551931768275,0.07631104654969312,0.18570430608720645,0.7425530308255301
60,30,0.058273482305948754,0.07909405800322857,0.18426074039879498,0.7275631146520228
45,10,0.04363697441754777,0.08812630373441442,0.14658018963025649,0.4896082591687036
60,15,0.02980208196133005,0.08550349243643181,0.10391121309406853,0.3445188294938553
20,5,0.037815929799603465,0.11206625277998318,0.12499430383276094,0.3344581505959155
15,5,0.040884609708715214,0.13088873904505927,0.13763359078449244,0.30999318065166387
10,5,0.021650254822916715,0.1370110861049202,0.07588512520375475,0.15687330223933996
30,10,0.007416570863030936,0.0863755772417336,0.03400370753315295,0.0848815091946371
60,10,-0.013690400761490862,0.09792422683087137,-0.03460169390922977,-0.13839280022776468
45,5,-0.032460348919225446,0.11169203935979934,-0.1012064002168742,-0.2880447377084653
60,5,-0.05731346964359951,0.13264444389393815,-0.1935407124292462,-0.4288503732267701
30,5,-0.048815148779719486,0.10519185467227289,-0.15359151025780368,-0.4596882588629023
5,30,-0.0967636480924593,0.17822902710286578,-0.2945151119046536,-0.5398882628365955
5,20,-0.11514449134743154,0.19098243625269937,-0.35179760220906797,-0.5997657577168732
5,15,-0.13253265732046715,0.2068130501874057,-0.40794974484101515,-0.6377494445173163
5,10,-0.1358823477395522,0.20987590984287507,-0.4129002158267168,-0.6443711272700565
5,5,-0.16366809253215997,0.23111825042556858,-0.5063661226842618,-0.7051065232143048
